input,output,instruction,data_source
,There are cubicles for more than 100 Ph.D. scholars.,How many Ph.D. scholar cubicles are there on the Jhalwa campus?,CAMPUS FACILITY
,The Executive Guest House has a plinth area of 426 square meters,What is the plinth area of the Executive Guest House?,CAMPUS FACILITY
,The sports complex within the main campus has a seating capacity of 500 seats.,What is the seating capacity of the sports complex at IIIT Allahabad?,CAMPUS FACILITY
,"Each Computer Center has fifteen labs, totaling thirty labs between CC1 and CC2.",How many labs are there in Computer Centers CC1 and CC2?,CAMPUS FACILITY
,"IIIT Allahabad has Type-A, Type-B, Type-C, Type-D, Type-E, and Type-F residential units, including a Director Residence & Camp Office.",What types of residential units are there for staff and faculty?,CAMPUS FACILITY
,"There's a 40-room air-conditioned guest house with 8 suites, along with faculty hostels and an executive guest house for dignitaries.",What accommodation options are available for visiting guests at IIIT Allahabad?,CAMPUS FACILITY
,"The institute provides regular bus services from the campus to central Allahabad and has dedicated transportation for school children, visiting faculty, and guests.",How is transportation arranged for students and faculty at IIIT Allahabad?,CAMPUS FACILITY
,"The campus offers modern amenities such as computer centers, labs, lecture halls, a library, recreational facilities, and residential units.",What facilities are available at IIIT Allahabad's campus?,CAMPUS FACILITY
,"IIITA�s campus provides all the modern amenities to it students. The campus spread over 100 acres is located at Jhalwa on the outskirts of Allahabad. The Jhalwa campus comprises two Computer Centers (CC1 and CC2) with fifteen labs each and one Computer Centre CC3 with 20 labs, 20 lectures halls, Ph.D scholar cubicles for more than 100 scholars. The Central library, Lecture Theater, Administration block and residential buildings are equipped with all facilities. An indoor auditorium, sports pavilion and various recreational facilities were also constructed during the said above period. Student Activity Centre, Market Complex, Swimming Pool, Squash Court, Health Centre, Shopping Complex and other amenities are constructed and operational throughout the day to facilitate the campus dwellers. Sports facilities within the main campus, with a 500 � seat sports complex was built to cater the needs of sports activities for campus residents.",facilities atIIIT ALLAHABAD or IIIT A campus?,CAMPUS FACILITY
,IIIT Allahabad does its best to connect all inmates to the central city. The students have access to a regular bus service from the Jhalwa campus to central Allahabad. The institute also runs a bus service for all employees living in the city. Arrangements are made to facilitate school going children in campus for meeting their daily need to go to and from the school to the campus. The institute has its own arrangements for meeting transportation needs of all visiting faculty and other eminent personals coming to the institute from time to time. A dedicated transportation cell carries the coordination of all transportation issues.,Transport facility at IIIT A?,CAMPUS FACILITY
,"The institute has a 40-room air-conditioned guest house setup with 8 suites for facilitating the accommodation of visiting guests. Also 24 units Faculty Hostels with two-room units meant for visiting faculty was also constructed with plinth area of 2600sq. mtrs. Further, IIIT-Allahabad has a 426 sq.mtrs Executive Guest House for special dignitaries/guests. All these accommodations are spacious and provided with computers, along with 24-hour backup power and water supply.",tell me about  Guest House of IIIT ALLAHABAD?,CAMPUS FACILITY
,"IIIT Allahabad's campus infrastructure plays a crucial role in providing a conducive learning environment. With multiple computer centers, labs, lecture halls, and a central library, students have access to state-of-the-art facilities for their academic pursuits. The presence of Ph.D. scholar cubicles and residential quarters ensures that researchers and faculty members can focus on their work without distractions. Additionally, the recreational facilities, sports complex, and transportation services contribute to a holistic campus experience, fostering not just academic growth but also overall well-being.",How does IIIT Allahabad's campus infrastructure contribute to a conducive learning environment for students and researchers?,CAMPUS FACILITY
,"Kendriya Vidyalaya Jhalwa, established within IIIT Allahabad's campus, has had a significant impact on the educational landscape. Offering education from Class 1 to Class 12, it provides a seamless educational pathway for students within the campus premises. The accolades received as the best Kendriya Vidyalaya in KV-Varanasi Zone reflect the institution's commitment to quality education. By catering to the educational needs of children of campus residents, faculty, and staff, Kendriya Vidyalaya Jhalwa enhances the overall educational ecosystem of IIIT Allahabad.",How has the presence of Kendriya Vidyalaya Jhalwa impacted the educational landscape within IIIT Allahabad's campus?,CAMPUS FACILITY
," IIIT Allahabad has implemented comprehensive transportation arrangements to connect its campus with central Allahabad and cater to the commuting needs of its stakeholders. This includes regular bus services for students from the Jhalwa campus to central Allahabad, ensuring convenient travel options. The institute also runs dedicated bus services for employees, further enhancing accessibility. Additionally, arrangements are made for school-going children residing on campus, addressing their daily commuting requirements. The presence of a dedicated transportation cell ensures efficient coordination and management of all transportation-related issues, including facilitating transportation for visiting faculty and guests.",Could you elaborate on the transportation arrangements made by IIIT Allahabad to connect its campus with central Allahabad and facilitate commuting for various stakeholders?,CAMPUS FACILITY
,"IIIT Allahabad offers a range of residential quarters for its staff, faculty, and officers, catering to diverse accommodation needs. The residential units, categorized by type and size, provide spacious living spaces equipped with essential amenities such as computers, 24-hour backup power, and water supply. This ensures a comfortable living environment for residents, allowing them to focus on their work and academic responsibilities. The guest accommodation options, including an air-conditioned guest house, faculty hostels, and an executive guest house, provide a welcoming and convenient stay for visiting guests, dignitaries, and faculty members from other institutions. These accommodations, coupled with the institute's hospitality services, enhance the overall experience of residents and visitors alike.",How do the residential quarters and guest accommodation options at IIIT Allahabad contribute to the overall experience of its residents and visitors?,CAMPUS FACILITY
," IIIT Allahabad's campus boasts modern amenities such as multiple computer centers with labs, lecture halls, a central library, an indoor auditorium, sports facilities including a 500-seat sports complex, residential quarters, and recreational facilities like a swimming pool and squash court. These features cater to the academic, residential, and leisure needs of students, faculty, and staff.",What are some of the key features of IIIT Allahabad's campus that contribute to its modern amenities?,CAMPUS FACILITY
," IIIT Allahabad facilitates transportation through regular bus services connecting the Jhalwa campus to central Allahabad for students and dedicated bus services for employees. Additionally, arrangements are made for school-going children and visiting faculty, managed by a dedicated transportation cell. These efforts ensure smooth commuting experiences for all stakeholders.","How does IIIT Allahabad ensure transportation convenience for its stakeholders, including students, employees, and visiting faculty?",CAMPUS FACILITY
,"IIIT Allahabad offers various accommodation options, including an air-conditioned guest house with suites, faculty hostels, and an executive guest house for special dignitaries. These accommodations are equipped with computers, 24-hour backup power, and water supply, providing comfortable stays for visitors and faculty members.","Can you describe the accommodation options available at IIIT Allahabad for visiting guests, faculty, and staff?",CAMPUS FACILITY
," Kendriya Vidyalaya Jhalwa, established on the campus, offers education from Class 1 to Class 12 and has been recognized as the best Kendriya Vidyalaya in KV-Varanasi Zone. This presence enhances the educational ecosystem, providing seamless educational pathways for children of residents, faculty, and staff, thereby enriching the overall educational experience.",How has the presence of Kendriya Vidyalaya Jhalwa within IIIT Allahabad's campus contributed to the educational environment?,CAMPUS FACILITY
,"The transportation cell at IIIT Allahabad coordinates all transportation issues, including regular bus services for students, dedicated services for employees, arrangements for school-going children, and transportation for visiting faculty. This centralized management ensures efficient and convenient transportation for all stakeholders.",What role does the transportation cell play in managing transportation-related issues at IIIT Allahabad?,CAMPUS FACILITY
,"IIIT Allahabad's campus infrastructure includes multiple computer centers with labs, lecture halls, and a central library, providing essential resources for academic and research pursuits. Additionally, the presence of Ph.D. scholar cubicles and residential quarters ensures a conducive environment for focused study and research work.", How does IIIT Allahabad's campus infrastructure support academic and research activities?,CAMPUS FACILITY
," IIIT Allahabad offers recreational facilities such as an indoor auditorium, sports pavilion, swimming pool, squash court, and other amenities for leisure activities. These facilities cater to the holistic well-being of campus residents, providing opportunities for relaxation and physical activity.",What recreational and leisure facilities are available on IIIT Allahabad's campus?,CAMPUS FACILITY
,"IIIT Allahabad provides various types of residential units, categorized by size and amenities, to accommodate its staff, faculty, and officers. These units offer spacious living spaces equipped with computers, 24-hour backup power, and water supply, ensuring comfortable residential experiences.","How does IIIT Allahabad accommodate the residential needs of its staff, faculty, and officers?",CAMPUS FACILITY
,Kendriya Vidyalaya Jhalwa offers education from Class 1 to Class 12 and has been recognized as the best Kendriya Vidyalaya in KV-Varanasi Zone. Its educational offerings and achievements contribute significantly to the overall educational environment within IIIT Allahabad's campus,Could you elaborate on the educational offerings and achievements of Kendriya Vidyalaya Jhalwa?,CAMPUS FACILITY
,"IIIT Allahabad manages transportation services through regular bus services for students and dedicated services for employees. The institute also coordinates arrangements for school-going children and transportation for visiting faculty through a dedicated transportation cell, ensuring efficient management and maintenance of transportation services.",How does IIIT Allahabad manage and maintain its transportation services for various stakeholders?,CAMPUS FACILITY
," Short: Labs, lecture halls, library, sports facilities, residential quarters.",What are the main facilities available at IIIT Allahabad's campus?,CAMPUS FACILITY
,"Regular bus services, dedicated transportation cell",How is transportation facilitated for students and employees at IIIT Allahabad?,CAMPUS FACILITY
,"IIIT Allahabad offers multiple types of residential quarters including Type-A, Type-B, Type-C, Type-D, Type-E, and Type-F units, along with a Director Residence & Camp Office. These units vary in size and are equipped with necessary amenities like computers, 24-hour backup power, and water supply to cater to the needs of its occupants.","What residential units are available for staff, faculty, and officers at IIIT Allahabad?",CAMPUS FACILITY
,There are 5 units of Type-F residential quarters.,How many units of Type-F residential quarters are there?,CAMPUS FACILITY
,The Central library is equipped with all necessary facilities for students and faculty,What facilities are available at the Central library?,CAMPUS FACILITY
,There are cubicles for more than 100 Ph.D. scholars.,How many Ph.D. scholar cubicles are there on the Jhalwa campus?,CAMPUS FACILITY
,The Executive Guest House has a plinth area of 426 square meters,What is the plinth area of the Executive Guest House?,CAMPUS FACILITY
,The sports complex within the main campus has a seating capacity of 500 seats.,What is the seating capacity of the sports complex at IIIT Allahabad?,CAMPUS FACILITY
,"Each Computer Center has fifteen labs, totaling thirty labs between CC1 and CC2.",How many labs are there in Computer Centers CC1 and CC2?,CAMPUS FACILITY
,"IIIT Allahabad has Type-A, Type-B, Type-C, Type-D, Type-E, and Type-F residential units, including a Director Residence & Camp Office.",What types of residential units are there for staff and faculty?,CAMPUS FACILITY
,"There's a 40-room air-conditioned guest house with 8 suites, along with faculty hostels and an executive guest house for dignitaries.",What accommodation options are available for visiting guests at IIIT Allahabad?,CAMPUS FACILITY
,"The institute provides regular bus services from the campus to central Allahabad and has dedicated transportation for school children, visiting faculty, and guests.",How is transportation arranged for students and faculty at IIIT Allahabad?,CAMPUS FACILITY
,"The campus offers modern amenities such as computer centers, labs, lecture halls, a library, recreational facilities, and residential units.",What facilities are available at IIIT Allahabad's campus?,CAMPUS FACILITY
,"IIITAs campus provides all the modern amenities to it students. The campus spread over 100 acres is located at Jhalwa on the outskirts of Allahabad. The Jhalwa campus comprises two Computer Centers (CC1 and CC2) with fifteen labs each and one Computer Centre CC3 with 20 labs, 20 lectures halls, Ph.D scholar cubicles for more than 100 scholars. The Central library, Lecture Theater, Administration block and residential buildings are equipped with all facilities. An indoor auditorium, sports pavilion and various recreational facilities were also constructed during the said above period. Student Activity Centre, Market Complex, Swimming Pool, Squash Court, Health Centre, Shopping Complex and other amenities are constructed and operational throughout the day to facilitate the campus dwellers. Sports facilities within the main campus, with a 500  seat sports complex was built to cater the needs of sports activities for campus residents.",facilities atIIIT ALLAHABAD or IIIT A campus?,CAMPUS FACILITY
,IIIT Allahabad does its best to connect all inmates to the central city. The students have access to a regular bus service from the Jhalwa campus to central Allahabad. The institute also runs a bus service for all employees living in the city. Arrangements are made to facilitate school going children in campus for meeting their daily need to go to and from the school to the campus. The institute has its own arrangements for meeting transportation needs of all visiting faculty and other eminent personals coming to the institute from time to time. A dedicated transportation cell carries the coordination of all transportation issues.,Transport facility at IIIT A?,CAMPUS FACILITY
,"The institute has a 40-room air-conditioned guest house setup with 8 suites for facilitating the accommodation of visiting guests. Also 24 units Faculty Hostels with two-room units meant for visiting faculty was also constructed with plinth area of 2600sq. mtrs. Further, IIIT-Allahabad has a 426 sq.mtrs Executive Guest House for special dignitaries/guests. All these accommodations are spacious and provided with computers, along with 24-hour backup power and water supply.",tell me about  Guest House of IIIT ALLAHABAD?,CAMPUS FACILITY
,"Established in the session 2003-04 inside the campus of IIIT Allahabad, which provides school education from Class 1 to Class 12.Within a short span of time the Vidyalaya is expanding in magnificent way in terms of peaceful surroundings, performance of students and quality faculty members.It got accolade on multiple occasions as the best Kendriya Vidyalaya in KV-Varanasi Zone.
",tell me about Kendriya Vidyalaya Jhalwa?,CAMPUS FACILITY
,Dr. Prasanna Mishra is the Chairman of the Council of Wardens.,Who is the Chairman of the Council of Wardens?,COUNCIL OF WARDENS
,Dr. Sunny Sharma is the Warden for Boys Hostel - I.,Who is the Warden for Boys Hostel - I?,COUNCIL OF WARDENS
,Dr. Srijit Bhattacharya is the Warden for Boys Hostel - II.,Who is the Warden for Boys Hostel - II?,COUNCIL OF WARDENS
,Dr. Anshu S. Anand is the Warden for Boys Hostel - III.,Who is the Warden for Boys Hostel - III?,COUNCIL OF WARDENS
,Dr. Mohd. Javed is the Warden for Boys Hostel - IV.,Who is the Warden for Boys Hostel - IV?,COUNCIL OF WARDENS
,Dr. Amar Nath Yadav and Dr. Kavindra Kandpal are the Wardens for Boys Hostel - V.,Who are the Wardens for Boys Hostel - V?,COUNCIL OF WARDENS
,Dr. Anjali Gautam is the Warden for Girls Hostel - I.,Who is the Warden for Girls Hostel - I?,COUNCIL OF WARDENS
,Dr. Seema Kushwaha is the Warden for Girls Hostel - II,Who is the Warden for Girls Hostel - II?,COUNCIL OF WARDENS
,Dr. Savitri Joshi is the Warden for Girls Hostel - III.,Who is the Warden for Girls Hostel - III?,COUNCIL OF WARDENS
,"During the early days in the year 1999, the institute had started in a modest rented setup at Nehru Science Centre (NSC) of Allahabad University campus. The NSC complex included five workshops, eight computer laboratories, five lecture halls, a conference room, auditorium, library, cafeteria, office space and other facilities. The total covered area was about 25,000 sq.ft. Besides this, there was an open space of 50,000 sq.ft. that was used for parking, lawns and sporting activities.Later, IIIT Allahabad was established at Jhalwa in the outskirts of Allahabad, spread in a sprawling 100 acres land near Devghat. The architecture of this institution is unique and contemporary in nature and makes a statement about the Fibonacci series of binary bits, in a serious deviation from the established pattern. Instead of the traditional geometric lines, the campus and other buildings have been styled on patterns developed by internationally acclaimed scholar and mathematician, Roger Penrose.Initially, apart from the Bachelor of Technology (B.Tech) in Information Technology, IIIT Allahabad was offering a specialized Masters Degree (M.Tech in IT) in three specializations namely, Intelligent Systems, Wireless Communication and Bioinformatics. Later, three new post graduate course works were added as MS in Cyber Law, MBA in IT and M.Tech in Software Engineering. In due course, other specialization topics were added into the pool of M.Tech with specializations like Robotics, Human Computer Interaction and Microelectronics.During the period (2008-2014 ), IIIT Allahabad became the only institute to organize 7 consecutive Science Conclaves, a meeting wherein noble laureates, Turing awardees, best scientists from India and abroad world come at a common platform to inspire and impart knowledge to the budding engineers. The infrastructure built was proposed to accommodate the needs of the institute for more than a decade.",how is infrastructure at IIIT ALLAHABAD?,INFRASTRUCTURE
," Initially, IIIT-Allahabad was set up in a rented space at Nehru Science Centre (NSC) within Allahabad University campus. The NSC complex included workshops, computer laboratories, lecture halls, a conference room, auditorium, library, cafeteria, office space, and other facilities, covering a total area of about 25,000 sq.ft. Additionally, there was an open space of 50,000 sq.ft. used for parking, lawns, and sporting activities.",What were the initial facilities and setup of IIIT-Allahabad at Nehru Science Centre (NSC) in 1999?,INFRASTRUCTURE
,"The architecture of IIIT-Allahabad's campus at Jhalwa is unique and contemporary, deviating from traditional geometric lines. It is styled on patterns developed by Roger Penrose, an internationally acclaimed scholar and mathematician, showcasing the Fibonacci series of binary bits.
",What is the unique architectural feature of IIIT-Allahabad's campus at Jhalwa?,INFRASTRUCTURE
,"Apart from B.Tech in Information Technology, IIIT-Allahabad initially offered a specialized Master's Degree (M.Tech) in three specializations: Intelligent Systems, Wireless Communication, and Bioinformatics.
"," What degree programs were initially offered by IIIT-Allahabad besides B.Tech in Information Technology?
",INFRASTRUCTURE
,"IIIT-Allahabad added three new postgraduate courses, including MS in Cyber Law, MBA in IT, and M.Tech in Software Engineering, expanding its educational offerings.",What new postgraduate courses were added later by IIIT-Allahabad?,INFRASTRUCTURE
,"IIIT-Allahabad organized seven consecutive Science Conclaves during the period of 2008-2014. These conclaves brought together noble laureates, Turing awardees, and top scientists from India and abroad to inspire and impart knowledge to the institute's students.",What notable achievement did IIIT-Allahabad accomplish during the period of 2008-2014?,INFRASTRUCTURE
,"There was an open space of 50,000 sq.ft. available for parking, lawns, and sporting activities at the NSC complex.","How much open space was available for parking, lawns, and sporting activities at the NSC complex?",INFRASTRUCTURE
,The architectural design of IIIT-Allahabad's campus at Jhalwa was inspired by the Fibonacci series of binary bits and patterns developed by Roger Penrose,What inspired the unique architectural design of IIIT-Allahabad's campus at Jhalwa?,INFRASTRUCTURE
,"The M.Tech degree program initially offered specializations in Intelligent Systems, Wireless Communication, and Bioinformatics",What were the specializations initially offered in the M.Tech degree program at IIIT-Allahabad?,INFRASTRUCTURE
,"IIIT-Allahabad's infrastructure was built to accommodate the institute's needs for more than a decade, ensuring that it could support the growing educational and research activities efficiently.","How did IIIT-Allahabad's infrastructure accommodate the institute's needs for more than a decade?
",INFRASTRUCTURE
,IIITA is recognized as an 'Institute of National Importance' under the IIIT Act 2014.,What is the Indian Institute of Information Technology Allahabad (IIITA) recognized as by the government of India?,DEAN MESSAGE
,The main aim of IIITA is to accelerate the generation of highly skilled manpower through teaching and research in Information Technology and allied areas.,What is the main aim of IIITA since its establishment in 1999?,DEAN MESSAGE
,"Within over 20 years, IIITA has become one of the top technical institutes in India by offering high-level knowledge, research, and development skills through its BTech, MTech, MBA, and PhD programs.",What notable achievements has IIITA accomplished in over 20 years since its inception?,DEAN MESSAGE
,IIITA's placement record has been at par with top IITs for several years.,How does IIITA compare with top IITs in terms of placement records?,DEAN MESSAGE
,"For BTech/M.Tech admission related queries, interested individuals should visit https://aaa.iiita.ac.in.",How can one apply for BTech or MTech at IIITA?,DEAN MESSAGE
,"For PhD admission related queries, one should visit https://rds.iiita.ac.in.",Where should one go for information regarding PhD admissions at IIITA?,DEAN MESSAGE
,"The Dean envisions IIITA reaching the esteemed heights of ancient Indian universities like Nalanda and Takshila, positioning it among the top educational institutions globally.",What is the vision of IIITA for the future according to the Dean?,DEAN MESSAGE
,"The Dean urges students, teachers, officers, staff, alumni, society, and the government to extend their help and support to IIITA to move ahead with greater pace.",How can the community support the progress and development of IIITA?,DEAN MESSAGE
,"IIIT Allahabad offers a diverse range of academic programs, including BTech, MTech, MBA, and PhD degrees, each designed to cater to the evolving needs of the technology sector. The BTech and MTech programs, in particular, focus on Information Technology and Electronics and Communication Engineering, which are integral to advancing technological innovations. The MBA program complements these by focusing on the management of tech enterprises, and the PhD programs encourage deep research in cutting-edge technologies. These programs collectively contribute to IIIT Allahabad's reputation as a top technical institute by producing graduates who are not only technically proficient but also capable of leading in their respective fields.","What are the main academic programs offered at IIIT Allahabad, and how do they contribute to its status as a top technical institute in India?",DEAN MESSAGE
,"IIIT Allahabad's campus is equipped with state-of-the-art infrastructure that significantly enhances both its educational and research capabilities. The institute houses advanced laboratories that offer experimental facilities in IT, Electronics and Communication Engineering, and Applied Sciences, which are essential for practical learning and research. Additionally, the campus infrastructure includes digital libraries, conference halls, and high-tech classrooms that facilitate an ideal learning environment. This robust infrastructure supports IIIT Allahabad's mission to excel in teaching, research, and the development of innovative technologies.",How does IIIT Allahabad's infrastructure support its educational and research objectives?,DEAN MESSAGE
,"The alumni of IIIT Allahabad have played a pivotal role in enhancing the institute's global recognition. Many graduates have gone on to hold top administrative positions in highly reputed companies, become successful entrepreneurs, or become renowned researchers at eminent universities across the globe. Their successes reflect the quality of education and training they received at IIIT Allahabad, and they continue to contribute to the technology sector by pushing the boundaries of innovation and leadership. The achievements of its alumni not only spotlight the institute's excellence but also attract prospective students and collaborators, thereby fostering a virtuous cycle of growth and innovation.",Can you explain the role of IIIT Allahabad's alumni in its growing global recognition and their impact on the technology sector?,DEAN MESSAGE
,"IIIT Allahabad was established by the Government of India in 1999 as an 'Institute of National Importance' under the IIIT Act 2014. The institute was founded with the aim of fostering highly skilled manpower in Information Technology and allied areas through advanced teaching and research. Over the past two decades, IIIT Allahabad has emerged as one of India's premier technical institutes, achieving numerous milestones in education and research. This is evidenced by its wide range of programs including BTech, MTech, MBA, and PhD, as well as its state-of-the-art experimental facilities in various departments such as IT, ECE, and AS. Notably, IIIT Allahabad's placement records have been consistently at par with top IITs, underscoring its excellence in education and its ability to prepare students for successful careers in highly reputed companies worldwide, as well as in academia.","Can you describe the significance of IIIT Allahabad's establishment by the Government of India, its achievements over the past 20 years, and how it compares with top IITs in terms of placement records?",DEAN MESSAGE
,"The Department of Applied Science offers postgraduate (M.Tech) and doctoral (Ph.D) programs in Bioinformatics, along with contributing to courses in physics and mathematics for other departments.",What are the main programs offered by the Department of Applied Science at IIIT Allahabad?,DEPARTMENT INFORMATION
,"The M.Tech program at IIIT Allahabad is research-oriented, typically lasting two years, and culminates in a thesis defense. It encourages students to excel in coursework and conduct research in a chosen area of specialization.",What is the focus of the M.Tech program at IIIT Allahabad?,DEPARTMENT INFORMATION
,"The Ph.D. program at IIIT Allahabad places a strong emphasis on dissertation work, requiring students to complete coursework, clear qualifiers, and successfully defend their thesis to earn the degree.",How does the Ph.D. program at IIIT Allahabad emphasize dissertation work?,DEPARTMENT INFORMATION
,The Department of Electronics and Communication Engineering at IIIT Allahabad was established in 2006.,What year was the Department of Electronics and Communication Engineering established?,DEPARTMENT INFORMATION
,"The department focuses on VLSI design and technology, MEMS and sensors, embedded systems, wireless and optical communication, cognitive radios, MIMO technologies, RF, and microwave engineering.",What are the key research areas in the Department of Electronics and Communication Engineering?,DEPARTMENT INFORMATION
,"The ECE department at IIIT Allahabad integrates core areas of IT into the curriculum, providing greater exposure to IT principles and systems, especially in advanced research projects.",How does the ECE department integrate IT into its curriculum?,DEPARTMENT INFORMATION
,The Department of Information Technology at IIIT-A was established in 1999.,When did the Department of Information Technology at IIIT-A come into existence?,DEPARTMENT INFORMATION
,The B.Tech (IT) program covers specialized areas mainly in Information Technology and Business Informatics.,What specialized areas does the B.Tech program in IT cover?,DEPARTMENT INFORMATION
,"The M.Tech (IT) program offers specializations in Cyber Law and Information Security, Human Computer Interaction, Intelligent Systems, Robotics, Software Engineering, and Wireless Communication Engineering.",What specializations are available in the M.Tech (IT) program at IIIT Allahabad?,DEPARTMENT INFORMATION
